unique_input_record_	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
4	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	KEYBOARDSUITENO8INFMINORH	KEYBOARDSUITENO8INFMINORH	0149146552	KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: III. ALLEMANDE	GEORGE FRIDERIC HANDEL
4	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	KEYBOARDSUITENO8INFMINORH	KEYBOARDSUITENO8INFMINORH	0149146549	KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: II. ALLEGRO	GEORGE FRIDERIC HANDEL
4	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	KEYBOARDSUITENO8INFMINORH	KEYBOARDSUITENO8INFMINORH	0149146547	KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: V. GIGUE	GEORGE FRIDERIC HANDEL
4	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	KEYBOARDSUITENO8INFMINORH	KEYBOARDSUITENO8INFMINORH	0149146546	KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: I. PRELUDE	GEORGE FRIDERIC HANDEL
4	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	KEYBOARDSUITENO8INFMINORH	KEYBOARDSUITENO8INFMINORH	0149146545	KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: IV. COURANTE	GEORGE FRIDERIC HANDEL
8	Woman's World	WOMANSWORLD	WOMANSWORLD	0149264985	WOMAN S WORLD	WALKER WAYNE P
9	Apneia	APNEIA	APNEIA	0154757655	APNEIA	ROD FELIPE
20	Ain't Got Time	AINTGOTTIME	AINTGOTTIME	0142076607	AINT GOT TIME	VERNON J/LAURIDSEN C
20	Ain't Got Time	AINTGOTTIME	AINTGOTTIME	0133732043	AIN'T GOT TIME	NORRIS R/CHATTERLEY A
23	Tooth Fairy	TOOTHFAIRY	TOOTHFAIRY	0349214532	TOOTH FAIRY (AD@2184)	POPE ASHER ALEXANDER
26	Surfin' Safari	SURFINSAFARI	SURFINSAFARI	0101418620	SURFIN SAFARI	WILSON B/LOVE M
27	It Must Have Been Love	ITMUSTHAVEBEENLOVE	ITMUSTHAVEBEENLOVE	0144084672	IT MUST HAVE BEEN LOVE (ORIGINAL SOUNDTRACK FROM PRETTY WOMA	PETER GESSLE
27	It Must Have Been Love	ITMUSTHAVEBEENLOVE	ITMUSTHAVEBEENLOVE	0100217500	IT MUST HAVE BEEN LOVE	GESSLE PER HAKAN
29	Wonderful Maker	WONDERFULMAKER	WONDERFULMAKER	0132676560	WONDERFUL MAKER	/REDMAN M/TOMLIN C
