unique_input_record_	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
30	Lovechild	LOVECHILD	LOVECHILD	0150810137	LOVE CHILD	CROCOMBE/BALL/BYRNE/BELL/FISCHER/CHAN/PE
32	Stand On It	STANDONIT	STANDONIT	0100153065	STAND ON IT	SPRINGSTEEN BRUCE
34	please don't give up on me	PLEASEDONTGIVEUPONME	PLEASEDONTGIVEUPONME	0153661513	PLEASE DON'T GIVE UP ON ME	OLLI SUOMINEN
36	Be Around	BEAROUND	BEAROUND	0150820547	BE AROUND	MICHAL MARTYNIUK/MICHAL MARTYNIUK
37	Brooklyn Love	BROOKLYNLOVE	BROOKLYNLOVE	0149020876	BROOKLYN LOVE	ROBINSON/KRONLUND
40	Shuckin' Sugar	SHUCKINSUGAR	SHUCKINSUGAR	0420684971	SHUCKIN' SUGAR BLUES	JEFFERSON BLIND LEMON (DECD 1929)
40	Shuckin' Sugar	SHUCKINSUGAR	SHUCKINSUGAR	0151348465	SHUCKIN' SUGAR	JEFFERSON
42	I'm So Hot for You	IMSOHOTFORYOU	IMSOHOTFORYOU	0111979686	I'M SO HOT FOR YOU	FISH R/RODRIGUEZ R/BANGOLES
43	Seksa	SEKSA	SEKSA	0149558160	SEKSA	SAARI AMRI
44	Cruise Control	CRUISECONTROL	CRUISECONTROL	0349619220	CRUISE CONTROL (UPMCD@031)	HAVIS R/MCGLYNN R
47	Dirt Bike	DIRTBIKE	DIRTBIKE	0144600206	DIRT BIKE	PLAS MIKE
56	We Rise Again	WERISEAGAIN	WERISEAGAIN	0155902255	WE RISE AGAIN	HLONGWANE G/THABETHE X
56	We Rise Again	WERISEAGAIN	WERISEAGAIN	0143102400	WE RISE AGAIN	KUBOTA PKA KUBOTY/YOSHIMOTO PKA SHUN
60	I Love You So Much	ILOVEYOUSOMUCH	ILOVEYOUSOMUCH	0146333581	I LOVE YOU SO MUCH	SLICHENKO N
63	Electric Blues / Old Fashioned Melody	ELECTRICBLUESOLDFASHIONED	ELECTRICBLUESOLDFASHIONED	0135716363	ELECTRIC BLUES/OLD FASHIONED MELODY	TOM PIERSON/GALT MACDERMOT
68	Moon Dust	MOONDUST	MOONDUST	0138412570	MOON DUST (ANW 1238)	DRAKE A/WILLIAMS N
69	Jackie	JACKIE	JACKIE	0134178983	JACKIE	BEJAR DANIEL
74	School's Out	SCHOOLSOUT	SCHOOLSOUT	0146563253	SCHOOL S OUT	DEWANDELER G/GREGOIRE O/BLUME S/JANZEN J
87	Selfie	SELFIE	SELFIE	0148840300	SELFIE	/OLOMIDE KOFFI/MUMBA ANTOINE
88	If I Needed You	IFINEEDEDYOU	IFINEEDEDYOU	0155923924	IF I NEEDED YOU	VAN ZANDT TOWNES
88	If I Needed You	IFINEEDEDYOU	IFINEEDEDYOU	0102427567	IF I NEEDED YOU	VAN ZANDT TOWNES JOHN
98	S'posin'	SPOSIN	SPOSIN	0134699751	S'POSIN'	COPELAND M/WARDEN D
99	Indigo	INDIGO	INDIGO	0147927962	INDIGO	DAVIDSON/JACKSON/KENNEDY/PERRY/WEADICK
99	Indigo	INDIGO	INDIGO	0145603685	INDIGO	MILLAR/VARGAS/STUART/CAMPBELL/SOFOULIS
102	Frank	FRANK	FRANK	0146095561	FRANK	ARENA G/MACCHIA A
104	Mama Raised Me	MAMARAISEDME	MAMARAISEDME	0135014864	MAMA RAISED ME	WEAVER J/ARCHER K
106	Donalina	DONALINA	DONALINA	0149026102	DONALINA	AVIV COHEN
106	Donalina	DONALINA	DONALINA	0138585761	DONALINA	BASSY OLAMA BLICK
108	What You Do	WHATYOUDO	WHATYOUDO	0133850633	WHAT YOU DO	HAMM R/BUTLER C
110	Some Fun Now	SOMEFUNNOW	SOMEFUNNOW	0101698377	SOME FUN NOW	ASHMAN H/MENKEN A
113	Crazy Beat	CRAZYBEAT	CRAZYBEAT	0152652615	CRAZY BEAT- DON'T BE CRUEL	BERNSTEIN S/KRAUSS B/SCHERR T/WOLLESON K
116	Honeysuckle	HONEYSUCKLE	HONEYSUCKLE	0135656899	HONEYSUCKLE	WHITE P/MEDLOCK R
117	Hard Headed Woman	HARDHEADEDWOMAN	HARDHEADEDWOMAN	0102813271	HARD HEADED WOMAN	CALDER JOHN LEIGH
118	Eenie Meenie	EENIEMEENIE	EENIEMEENIE	0142777353	EENIE MEENIE MINIE MO	SEMBELLO M/POUNDS R
118	Eenie Meenie	EENIEMEENIE	EENIEMEENIE	0100299976	EENIE MEENIE (MINIE MO)	SEMBELLO M/POUNDS R
119	Besame Mucho	BESAMEMUCHO	BESAMEMUCHO	0149919781	BESAME MUCHO	CONSUELO VELASQUEZ/SEAN FINN/PICCO
121	Love You For Life	LOVEYOUFORLIFE	LOVEYOUFORLIFE	0124802864	LOVE YOU FOR LIFE	CAMPBELL J /CHARLIE L
122	Quero Um Baby Seu	QUEROUMBABYSEU	QUEROUMBABYSEU	0141606935	QUERO UM BABY SEU	PAULO ZDANOWSKI/LUIZ CARLOS SIQUEIRA
123	Come Back Baby	COMEBACKBABY	COMEBACKBABY	0123748148	COME BACK BABY	BIGGS H /CUMBO J
130	Long Live Our Love	LONGLIVEOURLOVE	LONGLIVEOURLOVE	0111126924	LONG LIVE OUR LOVE	JACKSON J/BARNES S
131	Caliente	CALIENTE	CALIENTE	0144336175	CALIENTE (( ACORDEON MIX )) FEAT. VIRGIN	JUAN JOSE MARTINEZ JOVER/JUAN JOSE MARTI
138	Salome	SALOME	SALOME	0401373985	SALOME (OP 54) (EXCERPTS)	STRAUSS RICHARD/LACHMANN HEDWIG
138	Salome	SALOME	SALOME	0135559826	SALOME	HEUBAUM M/SCHAPHAUS E
143	I Want You	IWANTYOU	IWANTYOU	0134211567	I WANT YOU	MACDONALD F/GIBSON S
147	Superheld	SUPERHELD	SUPERHELD	0154750510	ROCKWOOL SUPERHELD	HORSTING M/VAN MAARSCHALKERWEERD S
149	Poor Boy	POORBOY	POORBOY	0143861713	POOR BOY	FORD J/HUDSON R
151	First Light	FIRSTLIGHT	FIRSTLIGHT	0133496156	FIRST LIGHT	DANDY K/DANDY K
152	Anathema	ANATHEMA	ANATHEMA	0142508631	ANATHEMA	ROBERT BLOOMFIELD/DAVID MATTHEW HASTING/
154	What's New	WHATSNEW	WHATSNEW	0147821022	WHAT S NEW (ORIGINAL MIX)	BING CROSBY
155	Last Night	LASTNIGHT	LASTNIGHT	0139024642	LAST NIGHT	JAMES I/VAN DONESELAAR D/PLATTS A
156	#thatPOWER	THATPOWER	THATPOWER	0150714837	THAT POWER	FRANK EARULLO
157	Long on Love	LONGONLOVE	LONGONLOVE	0133323875	QUACS	FERRARI MARC
161	Sem Ti	SEMTI	SEMTI	0150876595	SEM TI	RALF ANDRADE CORDEIRO/SAIDOV/SEMEDO DE S
163	Umpa Lumpa	UMPALUMPA	UMPALUMPA	0142088313	UMPA LUMPA	LUTAYA BRIAN
164	Quickdraw	QUICKDRAW	QUICKDRAW	0134736911	THEME FROM QUICK DRAW	MASCARI E/BOLDEN W
166	Save Me	SAVEME	SAVEME	0144867290	SAVE ME	HEZLEP/ROSS/ROSS/WILKERSON/NEEDHAM/CYKA
167	Am I Right?	AMIRIGHT	AMIRIGHT	0104627919	AM I RIGHT	CLARKE V/BELL A
171	Shake Your Money Maker	SHAKEYOURMONEYMAKER	SHAKEYOURMONEYMAKER	0149888195	MONEYMAKER	BERGIN R/ARKWRIGHT D/JAMES E
171	Shake Your Money Maker	SHAKEYOURMONEYMAKER	SHAKEYOURMONEYMAKER	0140460016	SHAKE YOUR MONEYMAKER	COLE M/KJELLER P/ROBYN D
187	Caminando	CAMINANDO	CAMINANDO	0146091155	CAMINANDO	SCAVO F/GIACOMELLI L
188	Boogie Magic	BOOGIEMAGIC	BOOGIEMAGIC	0141851800	BOOGIE MAGIC (ORIGINAL MIX)	CARLOS TEJADA
190	Que Te Vaya Bonito	QUETEVAYABONITO	QUETEVAYABONITO	0152175430	QUE TE VAYA BONITO	AGUADO GIMENEZ A/ROLDAN GARCIA H
190	Que Te Vaya Bonito	QUETEVAYABONITO	QUETEVAYABONITO	0118636572	QUE TE VAYA BONITO	AGUADO G /ROLDAN G
195	Too Much	TOOMUCH	TOOMUCH	0146556044	TOO MUCH (THANK YOU)	CHASE J/LAKE C/KALI M
196	Fata Morgana	FATAMORGANA	FATAMORGANA	0102000226	FATAMORGANA	ALONI B/HAZA O
199	Botanist	BOTANIST	BOTANIST	0152751834	BOTANIST	SHEMIE BENJAMIN
199	Botanist	BOTANIST	BOTANIST	0138775177	BOTANIST	YELDHAM SAMUEL THOMAS
199	Botanist	BOTANIST	BOTANIST	0136992143	THE BOTANIST	WELSH CATHERINE RUTH
199	Botanist	BOTANIST	BOTANIST	0154530600	THE BOTANISTS	NATHAN PRILLAMAN
200	Plea Bargain	PLEABARGAIN	PLEABARGAIN	0110402131	PLEA BARGAIN	SHAIMAN MARC
202	Em Algum Lugar no Tempo	EMALGUMLUGARNOTEMPO	EMALGUMLUGARNOTEMPO	0151094458	EM ALGUM LUGAR NO TEMPO	BOAVISTA/CARDOSO JUNIOR/GOUVEIA/CUNHA/LO
207	I Can't Let Go	ICANTLETGO	ICANTLETGO	0145760848	I CAN'T LET GO	BLACK C/THORNTON R
210	Taco Wagon	TACOWAGON	TACOWAGON	0128848155	TACO WAGON	DALE DICK
213	Trilogy for Krishna: Krishna II - Holy Denying	TRILOGYFORKRISHNAKRISHNAI	TRILOGYFORKRISHNAKRISHNAI	0149046014	TRILOGY FOR KRISHNA: KRISHNA III - HOLY RECONCILING	ARTHUR ANDRES RIBEIRO
213	Trilogy for Krishna: Krishna II - Holy Denying	TRILOGYFORKRISHNAKRISHNAI	TRILOGYFORKRISHNAKRISHNAI	0149046013	TRILOGY FOR KRISHNA: KRISHNA I - HOLY AFFIRMING	ARTHUR ANDRES RIBEIRO
215	It's Too Late	ITSTOOLATE	ITSTOOLATE	0135074763	IT S TOO LATE	JENNINGS MELVIN
220	Man Listen	MANLISTEN	MANLISTEN	0146331039	MAN LISTEN	UNKNOWN
220	Man Listen	MANLISTEN	MANLISTEN	0144805838	MAN LISTEN (LINE FOR LINE)	UNKNOWN
220	Man Listen	MANLISTEN	MANLISTEN	0136845878	MAN LISTEN (CAUSE UMMM) [FEAT. CARLITTA DURAND]	UNKNOWN
220	Man Listen	MANLISTEN	MANLISTEN	0136199902	MAN LISTEN	UNKNOWN
223	Love Me Tender	LOVEMETENDER	LOVEMETENDER	0136454554	LOVE ME TENDER	GHENASSIA D/KEMOUN D
226	Equinox	EQUINOX	EQUINOX	0335102816	EQUINOX (GM@096)	MINUCCI C/WILLIAMS A
228	Do It Together	DOITTOGETHER	DOITTOGETHER	0138684376	DO IT TOGETHER	MYERS TIM
228	Do It Together	DOITTOGETHER	DOITTOGETHER	0133879078	DO IT TOGETHER	/HARLEY BILL
232	Thumbelina	THUMBELINA	THUMBELINA	0152576912	THUMBELINA	JILLETTE JOHNSON
237	Hulapalu	HULAPALU	HULAPALU	0148208280	HULAPALU	GABALIER ANDREAS
239	Dankbar	DANKBAR	DANKBAR	0145138749	DANKBAR	ESCANO/SCALISI/ASSMUTEIT
240	You Lose	YOULOSE	YOULOSE	0150671112	YOU LOSE	BOWMAN J/COUSINS R
241	Who Dat	WHODAT	WHODAT	0125582019	A WHO DAT	MOUTOUSSAMY T/RED R
243	Opened	OPENED	OPENED	0148957733	OPENED	VANACORE D/BERRY K
246	Dixie Boogie	DIXIEBOOGIE	DIXIEBOOGIE	0102380202	DIXIE BOOGIE	ATWELL WINIFRED
248	Please Come Back	PLEASECOMEBACK	PLEASECOMEBACK	0134609886	PLEASE COME BACK	CASSEY DAN
252	I Don't Mind	IDONTMIND	IDONTMIND	0114156449	I DON'T MIND	CUTLER S/JOVOVICH M/PREVEN A
253	Bluebird	BLUEBIRD	BLUEBIRD	0136229586	BLUEBIRD	CLARK T/UNKNOWN W
254	Malade	MALADE	MALADE	0131790133	MALADE	DE BUJADOUX YVES JE
257	Dear X, You Don't Own Me	DEARXYOUDONTOWNME	DEARXYOUDONTOWNME	0141268919	DEAR X, YOU DON'T OWN ME	UNKNOWN
258	New Generation	NEWGENERATION	NEWGENERATION	0149745282	NEW GENERATION	NIEZNANY/MARCO RINALDO
262	Any Other Way	ANYOTHERWAY	ANYOTHERWAY	0147559651	ANY OTHER WAY	WYNDHAM C/BAILLIE B/BAILLIE V
263	Rise Up	RISEUP	RISEUP	0129272462	RISE UP	BADGER C/ALMEIDA P
265	To Be By Your Side	TOBEBYYOURSIDE	TOBEBYYOURSIDE	0133505468	TO BE BY YOUR SIDE	COULAIS B/CAVE N
267	Too Fat Polka	TOOFATPOLKA	TOOFATPOLKA	0101112096	TOO FAT POLKA	MACLEAN R/RICHARDSON A
274	Bout Mine	BOUTMINE	BOUTMINE	0342292004	BOUT MINE (RNM39)	WISNIEWSKI D/OKPALA N
280	Egyptian Fantasy	EGYPTIANFANTASY	EGYPTIANFANTASY	0100067832	EGYPTIAN FANTASY	/BECHET S/REID J
284	No Way Out	NOWAYOUT	NOWAYOUT	0147724070	NO WAY OUT	CHARLIE CULLEN/STEPHEN HANNON
284	No Way Out	NOWAYOUT	NOWAYOUT	0129240805	NO WAY OUT	SCHALLER B/BOTELHO T
284	No Way Out	NOWAYOUT	NOWAYOUT	0123649792	NO WAY OUT	KATZ A /SCHMIDT K
288	Kadath	KADATH	KADATH	0150910995	KADATH	UNKNOWN
291	Mas Que Nada	MASQUENADA	MASQUENADA	0102139384	MAS QUE NADA	/MENEZES JORGE LIMA/JORGE BEN
292	I Forgot	IFORGOT	IFORGOT	0133249692	I FORGOT	BELT J/BETHANCOURT M/SMITH A/GLEASON R
298	Me Leva Pra Casa	MELEVAPRACASA	MELEVAPRACASA	0130188464	ME LEVA PRA CASA	CARLINHOS B/MARK L
301	Moonlight Night	MOONLIGHTNIGHT	MOONLIGHTNIGHT	0127803233	MOONLIGHT NIGHT	BELL DAVID
301	Moonlight Night	MOONLIGHTNIGHT	MOONLIGHTNIGHT	0107148223	MOONLIGHT NIGHT	NORRIS PAUL JOHN E
302	Music	MUSIC	MUSIC	0116556629	MUSIC (LIKE A HEALING BALM)	BAYS T/NASH C
304	Funk de Fino	FUNKDEFINO	FUNKDEFINO	0122425577	FUNK DE FINO	DRINNAN GRAHAM
307	Jigsaw	JIGSAW	JIGSAW	0146117703	JIGSAW	SPENCER L/GARRETT W/GAGLIARDI D
312	Lebe deinen Traum	LEBEDEINENTRAUM	LEBEDEINENTRAUM	0128366137	LEBE DEINEN TRAUM	WHITE J/KAISER R/GEHRKE S
317	Sur mon epaule	SURMONEPAULE	SURMONEPAULE	0146537192	SUR MON EPAULE	ANAIS E/LAVIL P/MC NEIL D
320	Orange Loft	ORANGELOFT	ORANGELOFT	0143362542	ORANGE LOFT	FLORSCHUETZ M/KNOLL T
323	Just for Her	JUSTFORHER	JUSTFORHER	0148380991	JUST FOR HER	LAST RESORT
324	One For My Baby	ONEFORMYBABY	ONEFORMYBABY	0143131709	ONE FOR MY BABY	MORAN D/SUSANTO-LEE R/THOMAS M
327	Brand New	BRANDNEW	BRANDNEW	0139485083	BRAND NEW	JANSEN S/CRIPPS J
327	Brand New	BRANDNEW	BRANDNEW	0135613770	BRAND NEW	ALBRITTON A/JONES J
327	Brand New	BRANDNEW	BRANDNEW	0134371865	BRAND NEW	BERLIN I/SNYDER T
328	Tap Tap Tap	TAPTAPTAP	TAPTAPTAP	0153705074	TAP, TAP, TAP	WADDINGTON S/BOXSELL E
329	Gate 3	GATE3	GATE3	0139381677	GATE 3	GINZBURG J/PURGAS P
330	Our Father	OURFATHER	OURFATHER	0139172688	OUR FATHER	BLAKE K/MILLGATE A/MOSCO S
331	Sandman	SANDMAN	SANDMAN	0134230804	SANDMANN	MUELLER S/KEMPF R
334	Get Away	GETAWAY	GETAWAY	0147028713	GET AWAY	WALLACE B/DASHE C
338	Spinoza	SPINOZA	SPINOZA	0147412861	SPINOZA	MARK RONSON/GEOFF ZANELLI
340	Train Song	TRAINSONG	TRAINSONG	0148936371	DIFFERENT SITUATION	HOFFMANN D/STANDEN L
342	Quintet for Horn, Violin, 2 Violas and Bass in E-flat major, K.407: 3. Allegro	QUINTETFORHORNVIOLIN2VIOL	QUINTETFORHORNVIOLIN2VIOL	0142336620	QUINTET FOR HORN, VIOLIN, 2 VIOLAS AND VIOLONCELLO IN E-FLAT	WOLFGANG AMADEUS MOZART
344	Mambo & Cola	MAMBO&COLA	MAMBO&COLA	0142152849	MAMBO & COLA	BEBO BEST
344	Mambo & Cola	MAMBO&COLA	MAMBO&COLA	0141681635	MAMBO & COLA	BEBO BEST
346	Driftin'	DRIFTIN	DRIFTIN	0343762223	DRIFTING (AUM 014)	PURVIS C/GALAYAN G
349	No Place Like Home	NOPLACELIKEHOME	NOPLACELIKEHOME	0152337097	NO PLACE LIKE HOME	BANDY J/HOWARD R
351	Ragismena Matia	RAGISMENAMATIA	RAGISMENAMATIA	0153469033	RAGISMENA MATIA	ANDREAS SPYROPOULOS/VASILIS SALEAS
352	Night Time	NIGHTTIME	NIGHTTIME	0136805090	NIGHT TIME	BUSBEE M/WENDIN A
353	It's Me	ITSME	ITSME	0153521977	ITS ME	MENEGHIN DINO
355	Sunrise	SUNRISE	SUNRISE	0124541078	SUNRISE	FLEMING S/MCDONNELL D
362	Mangle	MANGLE	MANGLE	0133349041	MANGLE	KOSWARA H. KOKO
362	Mangle	MANGLE	MANGLE	0109225217	MANGLE	COURNANE STEPHEN MARTIN
366	If I Had Any Sense I'd Go Back Home	IFIHADANYSENSEIDGOBACKHOM	IFIHADANYSENSEIDGOBACKHOM	0117577610	IF I HAD ANY SENSE I'D GO BACK HOME	MCCOY ROSE MARIE
368	No. 8	NO8	NO8	0152850431	NO 8	SAWHNEY NITIN
371	If You Give Me Your Heart	IFYOUGIVEMEYOURHEART	IFYOUGIVEMEYOURHEART	0111300007	IF YOU'LL GIVE ME YOUR HEART	LEWIS JAMES E
372	Hold On For Your Life	HOLDONFORYOURLIFE	HOLDONFORYOURLIFE	0149984218	HOLD ON FOR YOUR LIFE	BOLLINGER W/TINNESZ S
376	For Heavenâs Sake	FORHEAVENSSAKE	FORHEAVENSSAKE	0138654040	FOR HEAVEN S SAKE	CRABB GERALD
379	Fark Atiyor	FARKATIYOR	FARKATIYOR	0147198340	FARK ATIYOR (TR)	SINAN AKCIL/TAMIM GALLAL
383	Big Blue	BIGBLUE	BIGBLUE	0152618108	BIG BLUE	JOHNSON NICHOLAS MARTIN
384	Shine	SHINE	SHINE	0117360403	SHINE	HOLLAND L/JACKSON N/JACKSON E
387	Heatwave	HEATWAVE	HEATWAVE	0143363116	HEATWAVE	WOJCICKI M/STEIN D
390	River of Pain	RIVEROFPAIN	RIVEROFPAIN	0122401311	RIVER OF PAIN	MALLOY D/BRANNEN S
392	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	VIOLINSONATANO1INGMINORBW	0145485048	VIOLIN SONATA NO. 1 IN G MINOR, BWV 1001: II. FUGA: ALLEGRO	JOHANN SEBASTIAN BACH
392	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	VIOLINSONATANO1INGMINORBW	0145485047	VIOLIN SONATA NO. 1 IN G MINOR, BWV 1001: III. SICILIANA	JOHANN SEBASTIAN BACH
392	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	VIOLINSONATANO1INGMINORBW	0141568936	VIOLIN SONATA NO. 1 IN G MINOR, BWV 1001 (ARR. S. STUBBS FOR	JOHANN SEBASTIAN BACH
392	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	VIOLINSONATANO1INGMINORBW	0433319608	SONATA NO 1 IN G MINOR (BWV1001)	BACH JOHANN SEBASTIAN
392	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	VIOLINSONATANO1INGMINORBW	0152355268	VIOLIN SONATA NO. 1 IN G MINOR, BWV 1001: II. FUGA (BWV 1000	JOHANN SEBASTIAN BACH
394	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	PIANOQUARTETINDMINOROP25I	PIANOQUARTETINDMINOROP25I	0155921241	PIANO QUARTET IN D MINOR, OP. 25: I. ALLEGRO MA NON TANTO	DORA PEJACEVIC
394	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	PIANOQUARTETINDMINOROP25I	PIANOQUARTETINDMINOROP25I	0155921238	PIANO QUARTET IN D MINOR, OP. 25: II. ANDANTE CON MOTO	DORA PEJACEVIC
394	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	PIANOQUARTETINDMINOROP25I	PIANOQUARTETINDMINOROP25I	0155921237	PIANO QUARTET IN D MINOR, OP. 25: III. ALLEGRETTO GRAZIOSO	DORA PEJACEVIC
394	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	PIANOQUARTETINDMINOROP25I	PIANOQUARTETINDMINOROP25I	0155921236	PIANO QUARTET IN D MINOR, OP. 25: IV. ALLEGRO COMODO	DORA PEJACEVIC
395	Sana Ikaw	SANAIKAW	SANAIKAW	0140051218	SANA IKAW	MOTA MINNITH
397	Please Please Please	PLEASEPLEASEPLEASE	PLEASEPLEASEPLEASE	0151749234	PLEASE, PLEASE, PLEASE	GEORGE D/ALICE J
401	Friendly	FRIENDLY	""	0149785581	FRIENDLY	AWOTWE-MENSAH J/JALLOW M
402	Tenebrae	TENEBRAE	""	0153513211	TENEBRAE	SAMPSON DAVID C
402	Tenebrae	TENEBRAE	""	0153185005	TENEBRAE	MARCUS LUDWIG
402	Tenebrae	TENEBRAE	""	0144238322	TENEBRAE	JOHN PICKARD
402	Tenebrae	TENEBRAE	""	0141270590	TENEBRAE	MAUS JOHN PATRICK
402	Tenebrae	TENEBRAE	""	0113265287	ECCE QUCMODO	MCGLYNN MICHAEL PHILIP
404	Sunday	SUNDAY	""	0139517066	SUNDAY	CLEMENTI J/MCBAIN M/MYERS B
405	Habiba	HABIBA	""	0153119818	HABIBA	EL BACHIRI M/BOUSSAADIA S
413	How Come	HOWCOME	""	0139526058	BACKGROUND FIRE	MCKENZIE C/SALSJO P
413	How Come	HOWCOME	""	0101316349	HOW COME	CUMMINGS S/PENDLEBURY A
418	Mr. Hide	MRHIDE	""	0111113361	MR HIDE	TRIBBLE K/FOX G/GAUDIO R
419	Zamba de Usted	ZAMBADEUSTED	""	0133885567	ZAMBA DE USTED	RAMIREZ A/LUNA F
422	Love Myself	LOVEMYSELF	""	0104966452	LOVE MYSELF	HARAWIRA R/NEWTON D/COLBECK R/JAMES D/BE
423	Later	LATER	""	0142412343	LATER	D'ANDREA J/GABRIEL A/LERIOS C
424	Get Down	GETDOWN	""	0152319544	GET DOWN	DICKINSON G/CHABOKI D/GORE JR D
428	Benediction	BENEDICTION	""	0107915191	BENEDICTION	MUIR M/GEORGE R/TRUJILLO R
434	Stand Proud	STANDPROUD	""	0153696060	STAND PROUD	IMAHORI TSUNEO
434	Stand Proud	STANDPROUD	""	0148093676	STAND PROUD	ALJINOVIC RICHARD MATHEW
434	Stand Proud	STANDPROUD	""	0140043893	STAND PROUD	HOSKINS KERRIE
435	My Day	MYDAY	""	0139071815	MY DAY	LEVY M/LEVY M
438	Emotional Winter	EMOTIONALWINTER	""	0112444480	EMOTIONAL WINTER	HAWKES PETER JAMES
444	Popeye	POPEYE	""	0140094127	POPEYE	SEIGNIOR C/SNOW A
447	Sweet Marie	SWEETMARIE	""	0148017292	SWEET MARIE	JORGEN GILLSTEDT
449	Foodplay	FOODPLAY	""	0149750230	FOODPLAY	GREGSON-WILLIAMS HARRY DAVID
454	Fantasia No. 6	FANTASIANO6	""	0153710056	FANTASIA NO. 6	JOHN JENKINS
454	Fantasia No. 6	FANTASIANO6	""	0146925413	FANTASIA NO. 6	JOHN DOWLAND
455	Rainy Dayz	RAINYDAYZ	""	0145072179	RAINY DAYZ	MALPHURS J/ANDERSON S
457	I Want You	IWANTYOU	""	0105082023	I WANT YOU	HALE T/PAMPOLINA D/DJ D/MC G/FRANKIE Z/B
458	Sensation Rag	SENSATIONRAG	""	0151149914	SENSATION RAG	UNKNOWN
458	Sensation Rag	SENSATIONRAG	""	0150940784	SENSATION RAG	THE DIXIEBAND
458	Sensation Rag	SENSATIONRAG	""	0149237271	SENSATION RAG	UNKNOWN
458	Sensation Rag	SENSATIONRAG	""	0148650763	SENSATION RAG	UNKNOWN
458	Sensation Rag	SENSATIONRAG	""	0148496672	SENSATION RAG	KELLIN ORJAN
458	Sensation Rag	SENSATIONRAG	""	0147798591	SENSATION RAG	PI SCHEFFER/B EDWARDS E
458	Sensation Rag	SENSATIONRAG	""	0147106631	SENSATION RAG	EDWARDS
458	Sensation Rag	SENSATIONRAG	""	0146765721	SENSATION RAG	UNKNOWN
458	Sensation Rag	SENSATIONRAG	""	0146186116	SENSATION RAG	UNKNOWN
